get key time: 0.00166738 s, token_id len: 10, device: disk
get key time: 0.00153482 s, token_id len: 10, device: disk
get key time: 0.01690167 s, token_id len: 10, device: disk
get key time: 0.00144619 s, token_id len: 10, device: disk
get key time: 0.01193931 s, token_id len: 10, device: disk
get key time: 0.00147863 s, token_id len: 10, device: disk
get key time: 0.00853588 s, token_id len: 10, device: disk
get key time: 0.00144074 s, token_id len: 10, device: disk
get key time: 0.00170456 s, token_id len: 10, device: disk
get key time: 0.00555136 s, token_id len: 10, device: disk
get key time: 0.00138404 s, token_id len: 10, device: disk
get key time: 0.00136878 s, token_id len: 10, device: disk
get key time: 0.00352386 s, token_id len: 10, device: disk
get key time: 0.00133156 s, token_id len: 10, device: disk
get key time: 0.00768008 s, token_id len: 10, device: disk
get key time: 0.00159337 s, token_id len: 10, device: disk
get key time: 0.00785005 s, token_id len: 10, device: disk
get key time: 0.00118971 s, token_id len: 10, device: disk
get key time: 0.00148202 s, token_id len: 10, device: disk
get key time: 0.00385019 s, token_id len: 10, device: disk
get key time: 0.00151262 s, token_id len: 10, device: disk
get key time: 0.00159109 s, token_id len: 10, device: disk
get key time: 0.00133721 s, token_id len: 10, device: disk
get key time: 0.00782905 s, token_id len: 10, device: disk
get key time: 0.00117913 s, token_id len: 10, device: disk
get key time: 0.00143672 s, token_id len: 10, device: disk
get key time: 0.00151935 s, token_id len: 10, device: disk
get key time: 0.00321019 s, token_id len: 10, device: disk
get key time: 0.00145456 s, token_id len: 10, device: disk
get key time: 0.00410855 s, token_id len: 10, device: disk
get key time: 0.00128674 s, token_id len: 10, device: disk
get key time: 0.00154085 s, token_id len: 10, device: disk
get key time: 0.00150488 s, token_id len: 10, device: disk
get key time: 0.00127477 s, token_id len: 10, device: disk
get key time: 0.00776356 s, token_id len: 10, device: disk
get key time: 0.00137023 s, token_id len: 10, device: disk
get key time: 0.00221939 s, token_id len: 48, device: disk
get key time: 0.00201888 s, token_id len: 55, device: disk
get key time: 0.00200985 s, token_id len: 57, device: disk
