get time: 0.00011435 s, token_id len: 42, device: cuda:0
get time: 0.00011544 s, token_id len: 42, device: cuda:0
get time: 0.00011426 s, token_id len: 42, device: cuda:0
get time: 0.00011650 s, token_id len: 42, device: cuda:0
get time: 0.00011510 s, token_id len: 48, device: cuda:0
get time: 0.00011392 s, token_id len: 48, device: cuda:0
get time: 0.00012193 s, token_id len: 24, device: cuda:0
get time: 0.00011808 s, token_id len: 24, device: cuda:0
get time: 0.00014233 s, token_id len: 3, device: cuda:0
get time: 0.00012603 s, token_id len: 3, device: cuda:0
get time: 0.00012054 s, token_id len: 9, device: cuda:0
get time: 0.00012954 s, token_id len: 9, device: cuda:0
get time: 0.00012327 s, token_id len: 4, device: cuda:0
get time: 0.00011607 s, token_id len: 4, device: cuda:0
get time: 0.00011557 s, token_id len: 9, device: cuda:0
get time: 0.00012233 s, token_id len: 9, device: cuda:0
get time: 0.00011649 s, token_id len: 7, device: cuda:0
get time: 0.00011524 s, token_id len: 7, device: cuda:0
get time: 0.00013384 s, token_id len: 51, device: cuda:0
get time: 0.00012267 s, token_id len: 51, device: cuda:0
get time: 0.00011719 s, token_id len: 56, device: cuda:0
get time: 0.00011777 s, token_id len: 56, device: cuda:0
get time: 0.00012085 s, token_id len: 59, device: cuda:0
get time: 0.00011756 s, token_id len: 59, device: cuda:0
get time: 0.00011559 s, token_id len: 60, device: cuda:0
get time: 0.00012008 s, token_id len: 60, device: cuda:0
get time: 0.00011520 s, token_id len: 59, device: cuda:0
get time: 0.00011629 s, token_id len: 59, device: cuda:0
get time: 0.00011498 s, token_id len: 59, device: cuda:0
get time: 0.00011680 s, token_id len: 59, device: cuda:0
get time: 0.00011957 s, token_id len: 25, device: cuda:0
get time: 0.00012173 s, token_id len: 25, device: cuda:0
get time: 0.00013261 s, token_id len: 8, device: cuda:0
get time: 0.00012420 s, token_id len: 8, device: cuda:0
get time: 0.00011741 s, token_id len: 4, device: cuda:0
get time: 0.00011617 s, token_id len: 4, device: cuda:0
get time: 0.00011923 s, token_id len: 10, device: cuda:0
get time: 0.00011771 s, token_id len: 10, device: cuda:0
get time: 0.00011360 s, token_id len: 6, device: cuda:0
get time: 0.00011402 s, token_id len: 6, device: cuda:0
get time: 0.00011529 s, token_id len: 3, device: cuda:0
get time: 0.00011459 s, token_id len: 3, device: cuda:0
get time: 0.00011531 s, token_id len: 7, device: cuda:0
get time: 0.00011560 s, token_id len: 7, device: cuda:0
get time: 0.00013028 s, token_id len: 48, device: cuda:0
get time: 0.00012570 s, token_id len: 48, device: cuda:0
get time: 0.00012108 s, token_id len: 52, device: cuda:0
get time: 0.00011702 s, token_id len: 52, device: cuda:0
get time: 0.00012616 s, token_id len: 61, device: cuda:0
get time: 0.00011628 s, token_id len: 61, device: cuda:0
get time: 0.00011650 s, token_id len: 60, device: cuda:0
get time: 0.00011990 s, token_id len: 60, device: cuda:0
get time: 0.00011501 s, token_id len: 61, device: cuda:0
get time: 0.00011570 s, token_id len: 61, device: cuda:0
get time: 0.00011436 s, token_id len: 61, device: cuda:0
get time: 0.00011558 s, token_id len: 61, device: cuda:0
get time: 0.00011540 s, token_id len: 26, device: cuda:0
get time: 0.00011624 s, token_id len: 26, device: cuda:0
get time: 0.00013133 s, token_id len: 3, device: cuda:0
get time: 0.00012532 s, token_id len: 3, device: cuda:0
get time: 0.00012118 s, token_id len: 3, device: cuda:0
get time: 0.00011838 s, token_id len: 3, device: cuda:0
get time: 0.00011549 s, token_id len: 7, device: cuda:0
get time: 0.00011419 s, token_id len: 7, device: cuda:0
get time: 0.00011866 s, token_id len: 1, device: cuda:0
get time: 0.00011825 s, token_id len: 1, device: cuda:0
get time: 0.00011507 s, token_id len: 1, device: cuda:0
get time: 0.00013471 s, token_id len: 1, device: cuda:0
get time: 0.00011600 s, token_id len: 1, device: cuda:0
get time: 0.00011614 s, token_id len: 1, device: cuda:0
get time: 0.00013704 s, token_id len: 46, device: cuda:0
get time: 0.00012620 s, token_id len: 46, device: cuda:0
get time: 0.00011801 s, token_id len: 59, device: cuda:0
get time: 0.00012293 s, token_id len: 59, device: cuda:0
get time: 0.00011588 s, token_id len: 57, device: cuda:0
get time: 0.00011691 s, token_id len: 57, device: cuda:0
get time: 0.00011536 s, token_id len: 59, device: cuda:0
get time: 0.00012043 s, token_id len: 59, device: cuda:0
get time: 0.00011471 s, token_id len: 63, device: cuda:0
